p,n,residues,pool,hjsw,primary,primary_method,surplus,bad_lines,excess_sum,lb_disjoint,lb_minus_surplus,holds,pure_bad,mixed_bad,color_sizes,minority,minority_over_3,runtime_s
53,106,1|3,416,156,162,exact,6,162,166,37,31,1,0,162,"84,78",78,26,0.022
53,106,1|2|3,624,156,179,exact,23,248,268,49,26,1,0,248,"68,62,49",111,37,0.025
53,106,1|2|52,624,156,176,exact,20,234,256,53,33,1,0,234,"62,60,54",114,38,0.026
53,106,2|3|5,624,156,178,warm_hjsw,22,268,289,50,28,1,0,268,"68,62,48",110,36,0.024
59,118,1|2,464,174,181,exact,7,176,183,41,34,1,0,176,"96,85",85,28,0.026
59,118,1|3,464,174,182,exact,8,167,174,46,38,1,0,167,"93,89",89,29,0.024
59,118,1|2|3,696,174,198,warm_hjsw,24,271,288,53,29,1,0,271,"76,64,58",122,40,0.030
59,118,1|2|58,696,174,193,exact,19,281,303,51,32,1,0,281,"70,65,58",123,41,0.030
59,118,2|3|5,696,174,195,warm_hjsw,21,276,301,50,29,1,0,276,"69,65,61",126,42,0.028
61,122,1|2,480,180,182,warm_hjsw,2,157,170,43,41,1,0,157,"98,84",84,28,0.025
61,122,1|3,480,180,193,warm_hjsw,13,209,230,47,34,1,0,209,"99,94",94,31,0.029
61,122,1|2|3,720,180,208,warm_hjsw,28,323,349,58,30,1,0,323,"73,68,67",135,45,0.035
61,122,1|2|60,720,180,203,warm_hjsw,23,272,296,52,29,1,0,272,"79,72,52",124,41,0.030
61,122,2|3|5,720,180,202,exact,22,291,318,53,31,1,0,291,"80,63,59",122,40,0.032
67,134,1|2,528,198,208,exact,10,242,264,51,41,1,0,242,"113,95",95,31,0.033
67,134,1|3,528,198,200,exact,2,214,227,53,51,1,0,214,"101,99",99,33,0.032
67,134,1|2|3,792,198,224,exact,26,344,368,64,38,1,0,344,"85,80,59",139,46,0.038
67,134,1|2|66,792,198,224,exact,26,345,370,61,35,1,0,345,"81,79,64",143,47,0.038
67,134,2|3|5,792,198,225,exact,27,338,361,64,37,1,0,338,"91,80,54",134,44,0.038
71,142,1|2,560,210,222,exact,12,258,278,59,47,1,0,258,"117,105",105,35,0.035
71,142,1|3,560,210,215,warm_hjsw,5,214,233,52,47,1,0,214,"109,106",106,35,0.035
71,142,1|2|3,840,210,232,exact,22,321,338,62,40,1,0,321,"87,76,69",145,48,0.042
71,142,1|2|70,840,210,235,exact,25,360,386,63,38,1,0,360,"86,79,70",149,49,0.042
71,142,2|3|5,840,210,234,exact,24,362,381,64,40,1,0,362,"89,84,61",145,48,0.042
73,146,1|2,576,216,221,exact,5,260,272,56,51,1,0,260,"115,106",106,35,0.037
73,146,1|3,576,216,219,exact,3,281,301,59,56,1,0,281,"116,103",103,34,0.037
73,146,1|2|3,864,216,239,warm_hjsw,23,375,415,66,43,1,0,375,"97,74,68",142,47,0.045
73,146,1|2|72,864,216,238,warm_hjsw,22,313,348,65,43,1,0,313,"89,76,73",149,49,0.044
73,146,2|3|5,864,216,247,warm_hjsw,31,399,427,70,39,1,0,399,"94,77,76",153,51,0.046
79,158,1|2,624,234,249,exact,15,286,305,58,43,1,0,286,"130,119",119,39,0.045
79,158,1|3,624,234,243,exact,9,258,279,58,49,1,0,258,"127,116",116,38,0.042
79,158,1|2|3,936,234,271,exact,37,446,481,75,38,1,0,446,"96,88,87",175,58,0.059
79,158,1|2|78,936,234,264,exact,30,425,462,71,41,1,0,425,"107,79,78",157,52,0.053
79,158,2|3|5,936,234,266,exact,32,450,492,76,44,1,0,450,"102,91,73",164,54,0.052
