p,n,residues,pool,hjsw,primary,primary_method,majority,minority,minority_covered,coverage_frac,color_sizes,bad_lines,lb_disjoint,surplus,floor_m_over_3,b1_lb_ge_m3,b2_m3_ge_surplus,implies_B,lb_minus_surplus,runtime_s
29,58,1|2|3,336,84,93,exact,37,56,53,0.9464,"37,30,26",91,23,9,18,1,1,1,14,0.035
29,58,1|2|28,336,84,95,warm_hjsw,35,60,57,0.9500,"35,35,25",94,23,11,20,1,1,1,12,0.035
29,58,2|3|5,336,84,97,exact,40,57,56,0.9825,"40,29,28",107,25,13,19,1,1,1,12,0.035
31,62,1|2,240,90,96,exact,52,44,40,0.9091,"52,44",74,25,6,14,1,1,1,19,0.035
31,62,1|3,240,90,96,exact,49,47,42,0.8936,"49,47",69,23,6,15,1,1,1,17,0.035
31,62,1|2|3,360,90,102,warm_hjsw,39,63,60,0.9524,"39,32,31",108,25,12,21,1,1,1,13,0.035
31,62,1|2|30,360,90,103,warm_hjsw,38,65,63,0.9692,"38,36,29",94,21,13,21,1,1,1,8,0.035
31,62,2|3|5,360,90,106,exact,38,68,64,0.9412,"38,36,32",107,27,16,22,1,1,1,11,0.035
37,74,1|2,288,108,108,warm_hjsw,54,54,49,0.9074,"54,54",82,24,0,18,1,1,1,24,0.035
37,74,1|3,288,108,115,exact,62,53,49,0.9245,"62,53",88,27,7,17,1,1,1,20,0.035
37,74,1|2|3,432,108,123,warm_hjsw,43,80,78,0.9750,"43,42,38",130,31,15,26,1,1,1,16,0.035
37,74,1|2|36,432,108,122,exact,46,76,74,0.9737,"46,39,37",127,28,14,25,1,1,1,14,0.035
37,74,2|3|5,432,108,120,exact,48,72,71,0.9861,"48,40,32",146,30,12,24,1,1,1,18,0.035
41,82,1|2,320,120,133,warm_hjsw,68,65,64,0.9846,"68,65",135,35,13,21,1,1,1,22,0.035
41,82,1|3,320,120,124,warm_hjsw,62,62,58,0.9355,"62,62",103,27,4,20,1,1,1,23,0.035
41,82,1|2|3,480,120,137,warm_hjsw,52,85,85,1.0000,"52,43,42",180,38,17,28,1,1,1,21,0.035
41,82,1|2|40,480,120,143,warm_hjsw,50,93,93,1.0000,"50,49,44",216,42,23,31,1,1,1,19,0.035
41,82,2|3|5,480,120,136,warm_hjsw,53,83,79,0.9518,"53,45,38",165,36,16,27,1,1,1,20,0.035
43,86,1|2,336,126,129,warm_hjsw,68,61,60,0.9836,"68,61",131,29,3,20,1,1,1,26,0.035
43,86,1|3,336,126,130,exact,66,64,63,0.9844,"66,64",138,31,4,21,1,1,1,27,0.035
43,86,1|2|3,504,126,146,exact,57,89,89,1.0000,"57,50,39",195,40,20,29,1,1,1,20,0.035
43,86,1|2|42,504,126,142,exact,49,93,91,0.9785,"49,47,46",173,39,16,31,1,1,1,23,0.035
43,86,2|3|5,504,126,140,exact,51,89,87,0.9775,"51,48,41",141,37,14,29,1,1,1,23,0.035
47,94,1|2,368,138,142,exact,80,62,59,0.9516,"80,62",140,38,4,20,1,1,1,34,0.035
47,94,1|3,368,138,144,exact,73,71,68,0.9577,"73,71",124,32,6,23,1,1,1,26,0.035
47,94,1|2|3,552,138,159,exact,57,102,100,0.9804,"57,51,51",222,44,21,34,1,1,1,23,0.035
47,94,1|2|46,552,138,158,exact,59,99,96,0.9697,"59,50,49",198,41,20,33,1,1,1,21,0.035
47,94,2|3|5,552,138,157,exact,57,100,99,0.9900,"57,53,47",209,39,19,33,1,1,1,20,0.035
53,106,1|2,416,156,165,exact,86,79,77,0.9747,"86,79",184,40,9,26,1,1,1,31,0.035
53,106,1|3,416,156,162,exact,84,78,75,0.9615,"84,78",162,37,6,26,1,1,1,31,0.035
53,106,1|2|3,624,156,179,exact,68,111,111,1.0000,"68,62,49",248,49,23,37,1,1,1,26,0.035
53,106,1|2|52,624,156,176,exact,62,114,114,1.0000,"62,60,54",234,53,20,38,1,1,1,33,0.035
53,106,2|3|5,624,156,178,warm_hjsw,68,110,109,0.9909,"68,62,48",268,50,22,36,1,1,1,28,0.035
59,118,1|2,464,174,181,exact,96,85,81,0.9529,"96,85",176,41,7,28,1,1,1,34,0.035
59,118,1|3,464,174,182,exact,93,89,86,0.9663,"93,89",167,46,8,29,1,1,1,38,0.035
59,118,1|2|3,696,174,198,warm_hjsw,76,122,121,0.9918,"76,64,58",271,53,24,40,1,1,1,29,0.035
59,118,1|2|58,696,174,193,exact,70,123,122,0.9919,"70,65,58",281,51,19,41,1,1,1,32,0.035
59,118,2|3|5,696,174,195,warm_hjsw,69,126,124,0.9841,"69,65,61",276,50,21,42,1,1,1,29,0.035
61,122,1|2,480,180,182,warm_hjsw,98,84,80,0.9524,"98,84",157,43,2,28,1,1,1,41,0.035
61,122,1|3,480,180,193,warm_hjsw,99,94,94,1.0000,"99,94",209,47,13,31,1,1,1,34,0.035
61,122,1|2|3,720,180,208,warm_hjsw,73,135,135,1.0000,"73,68,67",323,58,28,45,1,1,1,30,0.035
61,122,1|2|60,720,180,203,warm_hjsw,79,124,120,0.9677,"79,72,52",272,52,23,41,1,1,1,29,0.035
61,122,2|3|5,720,180,202,exact,80,122,121,0.9918,"80,63,59",291,53,22,40,1,1,1,31,0.035
67,134,1|2,528,198,208,exact,113,95,93,0.9789,"113,95",242,51,10,31,1,1,1,41,0.035
67,134,1|3,528,198,200,exact,101,99,98,0.9899,"101,99",214,53,2,33,1,1,1,51,0.035
67,134,1|2|3,792,198,224,exact,85,139,137,0.9856,"85,80,59",344,64,26,46,1,1,1,38,0.035
67,134,1|2|66,792,198,224,exact,81,143,142,0.9930,"81,79,64",345,61,26,47,1,1,1,35,0.035
67,134,2|3|5,792,198,225,exact,91,134,133,0.9925,"91,80,54",338,64,27,44,1,1,1,37,0.035
71,142,1|2,560,210,222,exact,117,105,104,0.9905,"117,105",258,59,12,35,1,1,1,47,0.035
71,142,1|3,560,210,215,warm_hjsw,109,106,100,0.9434,"109,106",214,52,5,35,1,1,1,47,0.035
71,142,1|2|3,840,210,232,exact,87,145,144,0.9931,"87,76,69",321,62,22,48,1,1,1,40,0.035
71,142,1|2|70,840,210,235,exact,86,149,147,0.9866,"86,79,70",360,63,25,49,1,1,1,38,0.035
71,142,2|3|5,840,210,234,exact,89,145,144,0.9931,"89,84,61",362,64,24,48,1,1,1,40,0.035
73,146,1|2,576,216,221,exact,115,106,106,1.0000,"115,106",260,56,5,35,1,1,1,51,0.035
73,146,1|3,576,216,219,exact,116,103,103,1.0000,"116,103",281,59,3,34,1,1,1,56,0.035
73,146,1|2|3,864,216,239,warm_hjsw,97,142,141,0.9930,"97,74,68",375,66,23,47,1,1,1,43,0.035
73,146,1|2|72,864,216,238,warm_hjsw,89,149,141,0.9463,"89,76,73",313,65,22,49,1,1,1,43,0.035
73,146,2|3|5,864,216,247,warm_hjsw,94,153,153,1.0000,"94,77,76",399,70,31,51,1,1,1,39,0.035
79,158,1|2,624,234,249,exact,130,119,118,0.9916,"130,119",286,58,15,39,1,1,1,43,0.035
79,158,1|3,624,234,243,exact,127,116,112,0.9655,"127,116",258,58,9,38,1,1,1,49,0.035
79,158,1|2|3,936,234,271,exact,96,175,174,0.9943,"96,88,87",446,75,37,58,1,1,1,38,0.035
79,158,1|2|78,936,234,264,exact,107,157,157,1.0000,"107,79,78",425,71,30,52,1,1,1,41,0.035
79,158,2|3|5,936,234,266,exact,102,164,164,1.0000,"102,91,73",450,76,32,54,1,1,1,44,0.035
